CTT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filial;C Custo;Classe;Cond Normal;Desc Moeda 1;CC Bloq;Dt Ini Exist;Dt Fim Exist;CC Lucr/Perd;CC Ponte LP;Conf. Livros;CC Superior;Cod Red. CC.;Tipo Lotação;Cnt Reg Niv1;Regra Nivel2;Tp eSocial;Regra Nivel3;Nome Tomador;Item Obrigat;Cl.Vlr Obrig;Aceita Item;Aceita Cl.Vl;C.C.Var.Mon.;CC.Red. Var.;C. Sinco;Operacao;T.Insc.Tomad;CNPJ/CEI Tom;Insc eSocial;End.Tomador;Bair.Tomador;Cep Tomador;Estado;Cod.Munic.;Mun.Tomador;Cód. FPAS;Terc FPAS;% Empresa;% Terceiros;% Acid.Trab.;Fat.Acd.Prev;% RAT;Ocorrencia;Vlr.Fatura;Vlr.Retido;Rec.Fatur.;Ind.Cont.Pat;Cód CNAE;T.InsContrat;N.InsContrat;T.InsProprie;N.InsProprie;Int. Reserve;Sinc Reserve;Ativ.01 Ob.;Ativ.02 Ob.;Ativ.03 Ob.;Ativ.04 Ob.;Outr.At.Ob?;Ativ.01 Ac.;Ativ.02 Ac.;Ativ.03 Ac.;Ativ.04 Ac.;Ac.Outra At?;Grp.Aprov CP;CC Anterior
01;10209;Analitico;Receita;GOIAS;Bloqueado;01/01/1980;  /  /    ;10209;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10210;Analitico;Receita;MARANHAO;Bloqueado;01/01/1980;  /  /    ;10210;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;10211;Analitico;Receita;MATO GROSSO;Bloqueado;01/01/1980;  /  /    ;10211;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;211205;
01;10212;Analitico;Receita;MATO GROSSO DO SUL;Bloqueado;01/01/1980;  /  /    ;10212;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;321603;
01;10213;Analitico;Receita;MINAS GERAIS;Bloqueado;01/01/1980;  /  /    ;10213;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;321609;
01;10214;Analitico;Receita;PARA;Bloqueado;01/01/1980;  /  /    ;10214;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;321602;
01;10215;Analitico;Receita;PARAIBA;Bloqueado;01/01/1980;  /  /    ;10215;;;102;;01;000001;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;321608;
01;10216;Analitico;Receita;PARANA;Bloqueado;01/01/1980;  /  /    ;10216;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;321606;
01;10217;Analitico;Receita;PERNAMBUCO;Bloqueado;01/01/1980;  /  /    ;10217;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10218;Analitico;Receita;PIAUI;Bloqueado;01/01/1980;  /  /    ;10218;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10219;Analitico;Receita;RIO DE JANEIRO;Bloqueado;01/01/1980;  /  /    ;10219;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10220;Analitico;Receita;RIO GRANDE DO NORTE;Bloqueado;01/01/1980;  /  /    ;10220;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10221;Analitico;Receita;RIO GRANDE DO SUL;Bloqueado;01/01/1980;  /  /    ;10221;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10222;Analitico;Receita;RONDONIA;Bloqueado;01/01/1980;  /  /    ;10222;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10223;Analitico;Receita;RORAIMA;Bloqueado;01/01/1980;  /  /    ;10223;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10224;Analitico;Receita;SANTA CATARINA;Bloqueado;01/01/1980;  /  /    ;10224;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;321610;
01;10225;Analitico;Receita;SAO PAULO;Bloqueado;01/01/1980;  /  /    ;10225;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10226;Analitico;Receita;SERGIPE;Bloqueado;01/01/1980;  /  /    ;10226;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10227;Analitico;Receita;TOCANTINS;Bloqueado;01/01/1980;  /  /    ;10227;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10228;Analitico;Despesa;ASSEMBLEIA GERAL;Bloqueado;01/01/1980;  /  /    ;10228;;;102;;;000002;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;18;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10229;Analitico;Receita;CLUBES;Bloqueado;01/01/1980;  /  /    ;10229;;;102;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;103;Sintetico;Despesa;PRESIDENCIA;Bloqueado;01/01/1980;  /  /    ;103;;;1;;01;000002;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;10301;Analitico;Despesa;GABINETE;Bloqueado;01/01/1980;  /  /    ;10301;;;103;;01;000002;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;18;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;10302;Analitico;Despesa;ASSESSORIA INTERNA - PRE;Bloqueado;01/01/1980;  /  /    ;10302;;;103;;01;000002;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;18;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;10303;Analitico;Despesa;ASSESSORIA EXTERNA - PRE;Bloqueado;01/01/1980;  /  /    ;10303;;;103;;01;000002;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;18;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;10304;Analitico;Despesa;VICE-PRESIDENCIAS REGIONAIS;Bloqueado;01/01/1980;  /  /    ;10304;;;103;;01;000002;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;18;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;10305;Analitico;Despesa;CONTROLADORIA E FINANCAS;Bloqueado;01/01/1980;  /  /    ;10305;;;103;;;000002;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;18;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;10306;Analitico;Receita;FESTA DO CAMPEONATO;Bloqueado;01/01/1980;  /  /    ;10306;;;103;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;10307;Analitico;Despesa;RESTAURANTE;Bloqueado;01/01/1980;  /  /    ;10307;;;103;;01;000002;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;18;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;10308;Analitico;Despesa;EVENTOS;Bloqueado;01/01/1980;  /  /    ;10308;;;103;;01;000002;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;18;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;10309;Analitico;Despesa;CERIMONIAL;Bloqueado;01/01/1980;  /  /    ;10309;;;103;;01;000002;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;18;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;10310;Analitico;Receita;CBF SOCIAL;Bloqueado;01/01/1980;  /  /    ;10310;;;103;;01;000001;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;10311;Analitico;Despesa;ALMOXARIFADO;Bloqueado;01/01/1980;  /  /    ;10311;;;103;;;000002;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;18;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;10312;Analitico;Despesa;MUNDIAL SUB-17;Bloqueado;01/01/1980;  /  /    ;10312;;;103;;;000002;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;16;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;104;Sintetico;Receita;ORGAOS AUXILIARES E DE COOPERACAO;Bloqueado;01/01/1980;  /  /    ;104;;;1;;01;000001;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2101
01;10401;Sintetico;Receita;COMISSAO DE ARBITRAGEM - CA;Bloqueado;01/01/1980;  /  /    ;10401;;;104;;01;000001;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;1040101;Analitico;Receita;DIRECAO - CA;Bloqueado;01/01/1980;  /  /    ;1040101;;;10401;;01;000001;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;37;210425
01;1040102;Analitico;Receita;ASSESSORIA INTERNA - CA;Bloqueado;01/01/1980;  /  /    ;1040102;;;10401;;01;000001;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;37;210426
01;1040103;Analitico;Receita;ASSESSORIA EXTERNA - CA;Bloqueado;01/01/1980;  /  /    ;1040103;;;10401;;01;000001;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;37;210427
01;1040104;Analitico;Receita;ARBITRAGEM VAR;Bloqueado;01/01/1980;  /  /    ;1040104;;;10401;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;37;210428
01;10402;Sintetico;Receita;COMISSAO NACIONAL DE CONTROLE DE DOPAGEM;Bloqueado;01/01/1980;  /  /    ;10402;;;104;;01;000001;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;1040201;Analitico;Receita;DIRECAO - CNCD;Bloqueado;01/01/1980;  /  /    ;1040201;;;10402;;01;000001;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;1040202;Analitico;Receita;ASSESSORIA INTERNA - CNCD;Bloqueado;01/01/1980;  /  /    ;1040202;;;10402;;01;000001;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;1040203;Analitico;Receita;ASSESSORIA EXTERNA - CNCD;Bloqueado;01/01/1980;  /  /    ;1040203;;;10402;;01;000001;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;1040204;Analitico;Receita;ESTUDO LONGITUDINAL;Bloqueado;01/01/1980;  /  /    ;1040204;;;10402;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;37;21042807
01;10403;Analitico;Receita;COMITE DE RESOLUCAO DE LITIGIOS;Bloqueado;01/01/1980;  /  /    ;10403;;;104;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;10404;Analitico;Despesa;CONSELHO CONSULTIVO;Bloqueado;01/01/1980;  /  /    ;10404;;;104;;;000002;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;18;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;10405;Analitico;Receita;CONSELHO TECNICO;Bloqueado;01/01/1980;  /  /    ;10405;;;104;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10406;Analitico;Receita;OUVIDORIA DO FUTEBOL;Bloqueado;01/01/1980;  /  /    ;10406;;;104;;01;000001;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10407;Analitico;Receita;COMISSAO NACIONAL DE MEDICOS DE FUTEBOL;Bloqueado;01/01/1980;  /  /    ;10407;;;104;;01;000001;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10408;Analitico;Despesa;CAMAROTES;Bloqueado;01/01/1980;  /  /    ;10408;;;104;;;000002;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;18;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10409;Analitico;Receita;ESCOLA BRASILEIRA DE FUTEBOL - EBF;Bloqueado;01/01/1980;  /  /    ;10409;;;104;;01;000001;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10410;Sintetico;Receita;PROJETO 11 PARA SAUDE - FIFA;Bloqueado;01/01/1980;  /  /    ;10410;;;104;;01;000001;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;1041001;Analitico;Receita;ASSESSORIA INTERNA - FIFA;Bloqueado;01/01/1980;  /  /    ;1041001;;;10410;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;37;21042823
01;1041002;Analitico;Receita;ASSESSORIA EXTERNA - FIFA;Bloqueado;01/01/1980;  /  /    ;1041002;;;10410;;01;000001;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;210429
01;10411;Analitico;Receita;LEGADO COPA DO MUNDO;Bloqueado;01/01/1980;  /  /    ;10411;;;104;;01;000001;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10412;Analitico;Receita;PROJETO CONMEBOL;Bloqueado;01/01/1980;  /  /    ;10412;;;104;;;000001;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;17;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10413;Analitico;Despesa;CONSELHO FISCAL;Bloqueado;01/01/1980;  /  /    ;10413;;;104;;01;000002;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;18;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10414;Analitico;Despesa;COMISSAO DE ETICA;Bloqueado;01/01/1980;  /  /    ;10414;;;104;;01;000002;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;18;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;105;Sintetico;Despesa;ASSESSORIA DE IMPRENSA - AIC;Bloqueado;01/01/1980;  /  /    ;105;;;1;;01;000002;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2102
01;10501;Analitico;Despesa;DIRECAO - AIC;Bloqueado;01/01/1980;  /  /    ;10501;;;105;;01;000002;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;18;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10502;Analitico;Despesa;ASSESSORIA INTERNA - AIC;Bloqueado;01/01/1980;  /  /    ;10502;;;105;;01;000002;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;18;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
01;10503;Analitico;Despesa;ASSESSORIA EXTERNA - AIC;Bloqueado;01/01/1980;  /  /    ;10503;;;105;;;000002;;;;0;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;18;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;10504;Analitico;Despesa;SITE - AIC;Bloqueado;01/01/1980;  /  /    ;10504;;;105;;01;000002;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;
01;1050401;Analitico;Despesa;ASSESSORIA INTERNA - SITE;Bloqueado;01/01/1980;  /  /    ;1050401;;;10504;;01;000002;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;18;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;37;210430
01;1050402;Analitico;Despesa;ASSESSORIA EXTERNA - SITE;Bloqueado;01/01/1980;  /  /    ;1050402;;;10504;;01;000002;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;18;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;37;210432
01;10505;Analitico;Despesa;SETOR DE FOTOS E VIDEOS - AIC;Bloqueado;01/01/1980;  /  /    ;10505;;;105;;01;000002;;;;;Nao;Nao;Sim;Sim;;;;;;.   .   /    -;;;;-;;;;566;0099;0;0;0;0;0;18;0;0;;;- /;;;;;Não;Pendente inclusão;;;;;;;;;;;;2
